user_id:token	item_id:token	timestamp:float
62	1070	1577934994.0
62	1065	1577935000.0
62	1071	1577935014.0
62	1378	1577935020.0
14	24173	1577936368.0
14	24172	1577936371.0
1264	48862	1577938276.0
782	24365	1577945535.0
177	27173	1577948476.0
177	24627	1577948501.0
120	18988	1577955018.0
120	20566	1577955028.0
120	18987	1577955034.0
120	18986	1577955119.0
71	24173	1577956322.0
71	24168	1577956327.0
71	24176	1577956337.0
71	24369	1577956342.0
787	41201	1577961765.0
248	39495	1577964427.0
799	17745	1577964655.0
799	5584	1577964657.0
126	28743	1577970249.0
126	28744	1577970284.0
126	46076	1577970294.0
126	44790	1577970328.0
152	7048	1577972846.0
9	42318	1577973078.0
785	10702	1578021967.0
785	10703	1578021987.0
785	12767	1578021997.0
824	44437	1578024126.0
824	44466	1578024133.0
2	18994	1578027822.0
114	24172	1578028721.0
114	24173	1578028729.0
114	19293	1578028734.0
877	36749	1578033348.0
877	35867	1578033374.0
139	9352	1578036846.0
215	57977	1578038468.0
253	31685	1578045904.0
870	39565	1578046685.0
247	38152	1578057133.0
62	1565	1578057944.0
62	1677	1578057956.0
62	1068	1578057962.0
62	1069	1578057973.0
212	18700	1578058910.0
62	41583	1578059107.0
177	24628	1578103846.0
177	24629	1578103897.0
53	30463	1578106050.0
1271	55485	1578120101.0
1271	58368	1578120103.0
1271	58367	1578120238.0
154	37048	1578122904.0
154	37049	1578122997.0
154	36306	1578123086.0
1285	34834	1578125549.0
33	43174	1578126624.0
71	24172	1578136338.0
247	38151	1578144731.0
212	27191	1578144878.0
165	30705	1578145447.0
165	30731	1578145482.0
165	30686	1578145486.0
165	30702	1578145492.0
165	20355	1578145500.0
165	55135	1578145504.0
165	55136	1578145508.0
165	19647	1578145516.0
165	20359	1578145526.0
165	20357	1578145529.0
165	20358	1578145533.0
260	28550	1578145798.0
134	5928	1578146012.0
1303	15516	1578206775.0
1303	57683	1578206781.0
1303	15515	1578206786.0
1303	15517	1578206792.0
81	8167	1578208023.0
767	41055	1578212065.0
767	56839	1578212071.0
257	41188	1578213478.0
767	6215	1578213583.0
767	32387	1578213600.0
253	32254	1578217544.0
863	12602	1578220194.0
863	12611	1578220200.0
863	12612	1578220269.0
863	9679	1578220276.0
165	30764	1578228684.0
165	30766	1578228699.0
165	20947	1578228707.0
165	24605	1578228711.0
165	24604	1578228717.0
165	30220	1578228724.0
165	19000	1578228731.0
165	19001	1578228735.0
165	20002	1578228787.0
165	20961	1578228801.0
165	30765	1578228822.0
134	811	1578230825.0
134	5966	1578230922.0
134	1073	1578230929.0
134	19508	1578230938.0
137	19510	1578232432.0
137	21991	1578232437.0
137	813	1578232457.0
137	938	1578232468.0
137	814	1578232477.0
134	812	1578232933.0
773	13619	1578269036.0
874	18875	1578276526.0
874	18876	1578276540.0
874	18874	1578276544.0
874	18877	1578276549.0
62	37564	1578280496.0
62	40331	1578280504.0
62	937	1578280513.0
62	1379	1578280522.0
62	19507	1578280540.0
108	1074	1578281318.0
242	38161	1578283998.0
242	38160	1578284007.0
134	19509	1578285972.0
2	28307	1578286754.0
769	37724	1578289231.0
1271	46003	1578293253.0
1271	55486	1578293257.0
1271	55487	1578293262.0
1271	20920	1578293265.0
99	19970	1578297533.0
99	19995	1578297540.0
99	20325	1578297551.0
176	8481	1578298301.0
818	30468	1578298885.0
247	38154	1578300087.0
1304	6928	1578303372.0
257	3305	1578317766.0
247	19816	1578318781.0
247	41351	1578318785.0
247	41350	1578318788.0
247	41352	1578318795.0
147	38628	1578367171.0
245	24569	1578369689.0
1308	34112	1578370200.0
66	19732	1578389161.0
66	19733	1578389162.0
1263	55937	1578391748.0
1263	55948	1578391756.0
1263	55949	1578391767.0
158	56357	1578399925.0
158	56358	1578399944.0
212	41349	1578405204.0
785	10699	1578449026.0
785	10701	1578449031.0
785	10700	1578449036.0
785	10502	1578449040.0
785	10500	1578449048.0
785	12912	1578449063.0
785	12852	1578449071.0
785	12913	1578449080.0
785	12344	1578449621.0
785	11076	1578449627.0
785	12762	1578449693.0
842	17413	1578450540.0
842	17412	1578450545.0
767	56918	1578452285.0
767	40467	1578452288.0
123	44506	1578452390.0
123	44500	1578452393.0
1264	45610	1578456798.0
1304	6929	1578467859.0
1304	6925	1578467864.0
1304	6930	1578467962.0
1304	6861	1578467990.0
807	45476	1578469269.0
807	45437	1578469273.0
807	49427	1578469279.0
807	49439	1578469283.0
807	49424	1578469299.0
807	49420	1578469340.0
1304	6931	1578469449.0
1304	6750	1578469465.0
1304	6684	1578469476.0
1304	6751	1578469503.0
132	12141	1578472937.0
132	12123	1578472941.0
132	9649	1578472945.0
4	831	1578479955.0
786	24886	1578480267.0
110	15514	1578480773.0
110	14516	1578480778.0
